 x1.net9         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(V_i_in)       i(vmeas_i_out_ladder) i(vmeas_dump)   i(vmeas_i_out) 
 5.93791954e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26445096e-06  2.12980786e-06  2.15571195e-06  2.70514280e-06 
 5.93709307e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26445124e-06  2.13313718e-06  2.15238321e-06  2.70827067e-06 
 5.93738528e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26445129e-06  2.13196066e-06  2.15355970e-06  2.70716535e-06 
 5.93626085e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26445151e-06  2.13648531e-06  2.14903552e-06  2.71141616e-06 
 5.93600833e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26445159e-06  2.13750046e-06  2.14802057e-06  2.71236988e-06 
 5.93534514e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.26445167e-06  2.14016436e-06  2.14535682e-06  2.71487252e-06 
 5.93469877e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26445170e-06  2.14275798e-06  2.14276317e-06  2.71730912e-06 
 5.93405046e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26445167e-06  2.14535682e-06  2.14016430e-06  2.71975058e-06 
 5.93338522e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26445159e-06  2.14802075e-06  2.13750019e-06  2.72225315e-06 
 5.93313163e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26445151e-06  2.14903555e-06  2.13648531e-06  2.72320651e-06 
 5.93199974e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26445129e-06  2.15356019e-06  2.13196022e-06  2.72745702e-06 
 5.93229433e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26445124e-06  2.15238323e-06  2.13313718e-06  2.72635137e-06 
 5.93146064e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26445096e-06  2.15571216e-06  2.12980771e-06  2.72947860e-06 
 5.93126441e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26445076e-06  2.15649493e-06  2.12902468e-06  2.73021389e-06 
 5.92898191e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26444999e-06  2.16558441e-06  2.11993324e-06  2.73875238e-06 
 5.93041201e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26445023e-06  2.15989294e-06  2.12562578e-06  2.73340598e-06 
 5.92963669e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26444978e-06  2.16297979e-06  2.12253808e-06  2.73630571e-06 
 5.92983876e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26444967e-06  2.16217537e-06  2.12334248e-06  2.73555005e-06 
 5.92775079e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26444857e-06  2.17047282e-06  2.11504254e-06  2.74334432e-06 
 5.92884510e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26444882e-06  2.16612714e-06  2.11938930e-06  2.73926222e-06 
 5.92729292e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26444779e-06  2.17228838e-06  2.11322595e-06  2.74504975e-06 
 5.92709183e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.26444737e-06  2.17308521e-06  2.11242854e-06  2.74579823e-06 
 5.92168225e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26444402e-06  2.19443668e-06  2.09106770e-06  2.76585344e-06 
 5.92611300e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26444620e-06  2.17696121e-06  2.10855044e-06  2.74943906e-06 
 5.92525836e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26444532e-06  2.18034092e-06  2.10516908e-06  2.75261365e-06 
 5.92623660e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26444562e-06  2.17647141e-06  2.10903982e-06  2.74897899e-06 
 5.92333347e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26444318e-06  2.18793636e-06  2.09756933e-06  2.75974791e-06 
 5.92558470e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26444446e-06  2.17904969e-06  2.10645972e-06  2.75140079e-06 
 5.92383136e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26444271e-06  2.18597288e-06  2.09953294e-06  2.75790370e-06 
 5.92403373e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26444245e-06  2.18517430e-06  2.10033149e-06  2.75715361e-06 
 5.91831264e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26443711e-06  2.20764170e-06  2.07785049e-06  2.77825589e-06 
 5.92285950e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26444050e-06  2.18980102e-06  2.09570142e-06  2.76149936e-06 
 5.92125858e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26443859e-06  2.19609629e-06  2.08940214e-06  2.76741221e-06 
 5.92225216e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26443904e-06  2.19219033e-06  2.09330985e-06  2.76374356e-06 
 5.91697686e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26443326e-06  2.21285633e-06  2.07262963e-06  2.78315339e-06 
 5.92034598e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26443607e-06  2.19967631e-06  2.08581811e-06  2.77077471e-06 
 5.91637277e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26443125e-06  2.21521071e-06  2.07027202e-06  2.78536456e-06 
 5.91608454e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  4.26443019e-06  2.21633321e-06  2.06914793e-06  2.78641875e-06 
 5.89791213e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26440970e-06  2.28614279e-06  1.99926589e-06  2.85197164e-06 
