 net3            v(b0)           net3            v(b1)           net3            v(b2)           net3            v(b3)           net3            v(b4)           net3            v(b5)           net3            v(b6)           net3            i(v_i_in)       net3            i(vi_out)      
 1.92413766e-01  0.00000000e+00  1.92413766e-01  0.00000000e+00  1.92413766e-01  1.80000000e+00  1.92413766e-01  1.80000000e+00  1.92413766e-01  1.80000000e+00  1.92413766e-01  0.00000000e+00  1.92413766e-01  0.00000000e+00  1.92413766e-01  1.00237933e-05  1.92413766e-01  4.26150736e-06 
 1.92410488e-01  1.80000000e+00  1.92410488e-01  0.00000000e+00  1.92410488e-01  1.80000000e+00  1.92410488e-01  1.80000000e+00  1.92410488e-01  1.80000000e+00  1.92410488e-01  0.00000000e+00  1.92410488e-01  0.00000000e+00  1.92410488e-01  1.00237938e-05  1.92410488e-01  4.45480694e-06 
 1.92411227e-01  0.00000000e+00  1.92411227e-01  1.80000000e+00  1.92411227e-01  1.80000000e+00  1.92411227e-01  1.80000000e+00  1.92411227e-01  1.80000000e+00  1.92411227e-01  0.00000000e+00  1.92411227e-01  0.00000000e+00  1.92411227e-01  1.00237941e-05  1.92411227e-01  4.41122823e-06 
 1.92409959e-01  1.80000000e+00  1.92409959e-01  1.80000000e+00  1.92409959e-01  1.80000000e+00  1.92409959e-01  1.80000000e+00  1.92409959e-01  1.80000000e+00  1.92409959e-01  0.00000000e+00  1.92409959e-01  0.00000000e+00  1.92409959e-01  1.00237945e-05  1.92409959e-01  4.48590650e-06 
 1.92412783e-01  0.00000000e+00  1.92412783e-01  0.00000000e+00  1.92412783e-01  0.00000000e+00  1.92412783e-01  0.00000000e+00  1.92412783e-01  0.00000000e+00  1.92412783e-01  1.80000000e+00  1.92412783e-01  0.00000000e+00  1.92412783e-01  1.00237950e-05  1.92412783e-01  4.31953479e-06 
 1.92407862e-01  1.80000000e+00  1.92407862e-01  0.00000000e+00  1.92407862e-01  0.00000000e+00  1.92407862e-01  0.00000000e+00  1.92407862e-01  0.00000000e+00  1.92407862e-01  1.80000000e+00  1.92407862e-01  0.00000000e+00  1.92407862e-01  1.00237954e-05  1.92407862e-01  4.60930639e-06 
 1.92406973e-01  0.00000000e+00  1.92406973e-01  1.80000000e+00  1.92406973e-01  0.00000000e+00  1.92406973e-01  0.00000000e+00  1.92406973e-01  0.00000000e+00  1.92406973e-01  1.80000000e+00  1.92406973e-01  0.00000000e+00  1.92406973e-01  1.00237959e-05  1.92406973e-01  4.66153258e-06 
 1.92404091e-01  1.80000000e+00  1.92404091e-01  1.80000000e+00  1.92404091e-01  0.00000000e+00  1.92404091e-01  0.00000000e+00  1.92404091e-01  0.00000000e+00  1.92404091e-01  1.80000000e+00  1.92404091e-01  0.00000000e+00  1.92404091e-01  1.00237964e-05  1.92404091e-01  4.83074043e-06 
 1.92405191e-01  0.00000000e+00  1.92405191e-01  0.00000000e+00  1.92405191e-01  1.80000000e+00  1.92405191e-01  0.00000000e+00  1.92405191e-01  0.00000000e+00  1.92405191e-01  1.80000000e+00  1.92405191e-01  0.00000000e+00  1.92405191e-01  1.00237967e-05  1.92405191e-01  4.76619758e-06 
 1.92401320e-01  1.80000000e+00  1.92401320e-01  0.00000000e+00  1.92401320e-01  1.80000000e+00  1.92401320e-01  0.00000000e+00  1.92401320e-01  0.00000000e+00  1.92401320e-01  1.80000000e+00  1.92401320e-01  0.00000000e+00  1.92401320e-01  1.00237972e-05  1.92401320e-01  4.99305040e-06 
 1.92401420e-01  0.00000000e+00  1.92401420e-01  1.80000000e+00  1.92401420e-01  1.80000000e+00  1.92401420e-01  0.00000000e+00  1.92401420e-01  0.00000000e+00  1.92401420e-01  1.80000000e+00  1.92401420e-01  0.00000000e+00  1.92401420e-01  1.00237977e-05  1.92401420e-01  4.98723310e-06 
 1.92399540e-01  1.80000000e+00  1.92399540e-01  1.80000000e+00  1.92399540e-01  1.80000000e+00  1.92399540e-01  0.00000000e+00  1.92399540e-01  0.00000000e+00  1.92399540e-01  1.80000000e+00  1.92399540e-01  0.00000000e+00  1.92399540e-01  1.00237980e-05  1.92399540e-01  5.09712785e-06 
 1.92401606e-01  0.00000000e+00  1.92401606e-01  0.00000000e+00  1.92401606e-01  0.00000000e+00  1.92401606e-01  1.80000000e+00  1.92401606e-01  0.00000000e+00  1.92401606e-01  1.80000000e+00  1.92401606e-01  0.00000000e+00  1.92401606e-01  1.00237985e-05  1.92401606e-01  4.97633791e-06 
 1.92397253e-01  1.80000000e+00  1.92397253e-01  0.00000000e+00  1.92397253e-01  0.00000000e+00  1.92397253e-01  1.80000000e+00  1.92397253e-01  0.00000000e+00  1.92397253e-01  1.80000000e+00  1.92397253e-01  0.00000000e+00  1.92397253e-01  1.00237989e-05  1.92397253e-01  5.23066604e-06 
 1.92396857e-01  0.00000000e+00  1.92396857e-01  1.80000000e+00  1.92396857e-01  0.00000000e+00  1.92396857e-01  1.80000000e+00  1.92396857e-01  0.00000000e+00  1.92396857e-01  1.80000000e+00  1.92396857e-01  0.00000000e+00  1.92396857e-01  1.00237995e-05  1.92396857e-01  5.25380039e-06 
 1.92394495e-01  1.80000000e+00  1.92394495e-01  1.80000000e+00  1.92394495e-01  0.00000000e+00  1.92394495e-01  1.80000000e+00  1.92394495e-01  0.00000000e+00  1.92394495e-01  1.80000000e+00  1.92394495e-01  0.00000000e+00  1.92394495e-01  1.00237997e-05  1.92394495e-01  5.39137930e-06 
 1.92396058e-01  0.00000000e+00  1.92396058e-01  0.00000000e+00  1.92396058e-01  1.80000000e+00  1.92396058e-01  1.80000000e+00  1.92396058e-01  0.00000000e+00  1.92396058e-01  1.80000000e+00  1.92396058e-01  0.00000000e+00  1.92396058e-01  1.00238002e-05  1.92396058e-01  5.30034718e-06 
 1.92392714e-01  1.80000000e+00  1.92392714e-01  0.00000000e+00  1.92392714e-01  1.80000000e+00  1.92392714e-01  1.80000000e+00  1.92392714e-01  0.00000000e+00  1.92392714e-01  1.80000000e+00  1.92392714e-01  0.00000000e+00  1.92392714e-01  1.00238006e-05  1.92392714e-01  5.49496830e-06 
 1.92393291e-01  0.00000000e+00  1.92393291e-01  1.80000000e+00  1.92393291e-01  1.80000000e+00  1.92393291e-01  1.80000000e+00  1.92393291e-01  0.00000000e+00  1.92393291e-01  1.80000000e+00  1.92393291e-01  0.00000000e+00  1.92393291e-01  1.00238011e-05  1.92393291e-01  5.46145963e-06 
 1.92391908e-01  1.80000000e+00  1.92391908e-01  1.80000000e+00  1.92391908e-01  1.80000000e+00  1.92391908e-01  1.80000000e+00  1.92391908e-01  0.00000000e+00  1.92391908e-01  1.80000000e+00  1.92391908e-01  0.00000000e+00  1.92391908e-01  1.00238014e-05  1.92391908e-01  5.54174458e-06 
