 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.67780662e-01  1.00586926e-05  2.67780662e-01  5.24768961e-06  2.67780662e-01  2.82927106e-01 
 2.67778397e-01  1.00586923e-05  2.67778397e-01  5.33255747e-06  2.67778397e-01  2.82930592e-01 
 2.67777261e-01  1.00586922e-05  2.67777261e-01  5.37498313e-06  2.67777261e-01  2.82933973e-01 
 2.67773823e-01  1.00586920e-05  2.67773823e-01  5.50251045e-06  2.67773823e-01  2.82937734e-01 
 2.67773276e-01  1.00586919e-05  2.67773276e-01  5.52271931e-06  2.67773276e-01  2.82941113e-01 
 2.67770372e-01  1.00586917e-05  2.67770372e-01  5.62939208e-06  2.67770372e-01  2.82944929e-01 
 2.67768645e-01  1.00586916e-05  2.67768645e-01  5.69249064e-06  2.67768645e-01  2.82948593e-01 
 2.67764484e-01  1.00586913e-05  2.67764484e-01  5.84328611e-06  2.67764484e-01  2.82952348e-01 
 2.67764760e-01  1.00586912e-05  2.67764760e-01  5.83333181e-06  2.67764760e-01  2.82955721e-01 
 2.67762549e-01  1.00586911e-05  2.67762549e-01  5.91285028e-06  2.67762549e-01  2.82959641e-01 
 2.67761591e-01  1.00586909e-05  2.67761591e-01  5.94712952e-06  2.67761591e-01  2.82963322e-01 
 2.67758090e-01  1.00586907e-05  2.67758090e-01  6.07176611e-06  2.67758090e-01  2.82967639e-01 
 2.67757789e-01  1.00586906e-05  2.67757789e-01  6.08243238e-06  2.67757789e-01  2.82971242e-01 
 2.67754891e-01  1.00586903e-05  2.67754891e-01  6.18458295e-06  2.67754891e-01  2.82975545e-01 
 2.67753294e-01  1.00586902e-05  2.67753294e-01  6.24057434e-06  2.67753294e-01  2.82979558e-01 
 2.67748974e-01  1.00586899e-05  2.67748974e-01  6.39070185e-06  2.67748974e-01  2.82984253e-01 
 2.67749072e-01  1.00586897e-05  2.67749072e-01  6.38730368e-06  2.67749072e-01  2.82987884e-01 
 2.67746430e-01  1.00586896e-05  2.67746430e-01  6.47830089e-06  2.67746430e-01  2.82992357e-01 
 2.67745165e-01  1.00586895e-05  2.67745165e-01  6.52161608e-06  2.67745165e-01  2.82996453e-01 
 2.67741070e-01  1.00586892e-05  2.67741070e-01  6.66075435e-06  2.67741070e-01  2.83001492e-01 
 2.67740522e-01  1.00586890e-05  2.67740522e-01  6.67923921e-06  2.67740522e-01  2.83005451e-01 
 2.67737072e-01  1.00586887e-05  2.67737072e-01  6.79501948e-06  2.67737072e-01  2.83010428e-01 
 2.67735064e-01  1.00586886e-05  2.67735064e-01  6.86187830e-06  2.67735064e-01  2.83014969e-01 
 2.67729872e-01  1.00586883e-05  2.67729872e-01  7.03291573e-06  2.67729872e-01  2.83021656e-01 
 2.67730620e-01  1.00586882e-05  2.67730620e-01  7.00846425e-06  2.67730620e-01  2.83025321e-01 
 2.67728291e-01  1.00586878e-05  2.67728291e-01  7.08447858e-06  2.67728291e-01  2.83030146e-01 
 2.67727510e-01  1.00586877e-05  2.67727510e-01  7.10986578e-06  2.67727510e-01  2.83034415e-01 
 2.67723597e-01  1.00586875e-05  2.67723597e-01  7.23618016e-06  2.67723597e-01  2.83039957e-01 
 2.67723624e-01  1.00586873e-05  2.67723624e-01  7.23530233e-06  2.67723624e-01  2.83043975e-01 
 2.67720463e-01  1.00586871e-05  2.67720463e-01  7.33625825e-06  2.67720463e-01  2.83049348e-01 
 2.67718898e-01  1.00586868e-05  2.67718898e-01  7.38586026e-06  2.67718898e-01  2.83054096e-01 
 2.67713999e-01  1.00586866e-05  2.67713999e-01  7.53963839e-06  2.67713999e-01  2.83060221e-01 
 2.67714517e-01  1.00586864e-05  2.67714517e-01  7.52347964e-06  2.67714517e-01  2.83064151e-01 
 2.67711680e-01  1.00586861e-05  2.67711680e-01  7.61161592e-06  2.67711680e-01  2.83069617e-01 
 2.67710528e-01  1.00586859e-05  2.67710528e-01  7.64716537e-06  2.67710528e-01  2.83074351e-01 
 2.67705923e-01  1.00586856e-05  2.67705923e-01  7.78803738e-06  2.67705923e-01  2.83080748e-01 
 2.67705651e-01  1.00586855e-05  2.67705651e-01  7.79629655e-06  2.67705651e-01  2.83085155e-01 
 2.67701843e-01  1.00586851e-05  2.67701843e-01  7.91113467e-06  2.67701843e-01  2.83091323e-01 
 2.67699794e-01  1.00586849e-05  2.67699794e-01  7.97233452e-06  2.67699794e-01  2.83096680e-01 
 2.67694073e-01  1.00586847e-05  2.67694073e-01  8.14108558e-06  2.67694073e-01  2.83103477e-01 
 2.67695036e-01  1.00586845e-05  2.67695036e-01  8.11291125e-06  2.67695036e-01  2.83107417e-01 
 2.67692250e-01  1.00586842e-05  2.67692250e-01  8.19417038e-06  2.67692250e-01  2.83113315e-01 
 2.67691348e-01  1.00586840e-05  2.67691348e-01  8.22034341e-06  2.67691348e-01  2.83118259e-01 
 2.67686608e-01  1.00586836e-05  2.67686608e-01  8.35646723e-06  2.67686608e-01  2.83125299e-01 
 2.67686690e-01  1.00586834e-05  2.67686690e-01  8.35413969e-06  2.67686690e-01  2.83129791e-01 
